id,student_id,ref_group,slot_number,raw_value
8f1c2721-2dc4-5b5e-9466-d0a7938c2f1f,8e0a158b-4268-5703-af8e-dd9548291e24,eno,1,217
77ccc07b-185f-5ba1-8ef3-45be4c9575bf,8e0a158b-4268-5703-af8e-dd9548291e24,eno,2,973
644e575e-0493-5cd8-91f1-0b80e8e4aae9,8e0a158b-4268-5703-af8e-dd9548291e24,eno,3,UT DIS
5baaadbc-c82a-5a57-a5c5-c4c44e55ebeb,8e0a158b-4268-5703-af8e-dd9548291e24,eno,4,ut
feb4ac7b-01ed-57a6-bec2-fa399e8b241f,88a0a0a3-d3ec-53dd-b9fd-9dedd43570f5,card,1,832
bd2c4c07-2540-58c9-92a6-59481b7c877c,88a0a0a3-d3ec-53dd-b9fd-9dedd43570f5,card,2,3231
a32f41fb-5ea1-55ab-9b69-53bb5fb180cf,88a0a0a3-d3ec-53dd-b9fd-9dedd43570f5,card,3,L-170
a6fcabd2-c90d-5265-847d-e7953b1f3b4b,88a0a0a3-d3ec-53dd-b9fd-9dedd43570f5,eno,1,5858
433e6084-a642-5ad2-bbec-4af1d0ca22c6,88a0a0a3-d3ec-53dd-b9fd-9dedd43570f5,eno,2,418
526906fd-c80f-5e8b-8462-d6e26086c41e,88a0a0a3-d3ec-53dd-b9fd-9dedd43570f5,eno,3,034
15a95531-a1b1-5238-8f39-8ff47f0b7e18,88a0a0a3-d3ec-53dd-b9fd-9dedd43570f5,eno,4,1016
8c09f321-15bd-5b2d-89d8-e8f1838d5a32,367ab234-02f7-5db1-ac0e-e5566f3773ec,card,1,553
a3ea49d6-d81d-5119-be90-61c53c822420,367ab234-02f7-5db1-ac0e-e5566f3773ec,card,2,3151
7a003324-f381-55d6-bc30-0a40dd710f0b,367ab234-02f7-5db1-ac0e-e5566f3773ec,eno,1,5746
180f4633-749d-5e7f-a5df-4de5cbaa1162,367ab234-02f7-5db1-ac0e-e5566f3773ec,eno,2,710
5ff957f8-f6f7-5699-b59a-177d0650acab,367ab234-02f7-5db1-ac0e-e5566f3773ec,eno,3,627
79cc3390-75ef-57c1-a580-97de75af372a,367ab234-02f7-5db1-ac0e-e5566f3773ec,eno,4,1020
30a2b007-ff88-57e3-a723-0b91455bdc22,d54f114a-9af5-5644-93bf-282bad569a1e,card,1,882
e4cc22a5-005f-5ac2-a82a-9235bcee71d3,d54f114a-9af5-5644-93bf-282bad569a1e,card,2,3073
0800f962-74f0-5a0d-8f2c-41d9877bc8be,d54f114a-9af5-5644-93bf-282bad569a1e,eno,1,5794
21acaa42-9d3b-58bd-bc43-ab39143e6316,d54f114a-9af5-5644-93bf-282bad569a1e,eno,2,288
32f776a6-11a1-56f2-9c37-9eac46e59ea8,d54f114a-9af5-5644-93bf-282bad569a1e,eno,3,277
753734cc-bb65-5b7f-97af-1cab3d7573d7,d54f114a-9af5-5644-93bf-282bad569a1e,eno,4,1036
3c2ca35d-cdc8-56c0-86db-70ab351e3f22,2ab8bbb2-6261-5662-aef9-7d6965f09c85,card,1,OLD STU
ecd42bac-53b7-5e89-bb89-2201899dba07,2ab8bbb2-6261-5662-aef9-7d6965f09c85,card,2,3268
76776d79-af4f-5877-8bf9-51c0201c13bd,2ab8bbb2-6261-5662-aef9-7d6965f09c85,eno,1,5815
031a2b47-9f01-57d9-8a2d-55aa9f5142b9,2ab8bbb2-6261-5662-aef9-7d6965f09c85,eno,2,594
c3a52e45-b409-5508-88e1-ab75fbeb0d1f,2ab8bbb2-6261-5662-aef9-7d6965f09c85,eno,3,037
e09b6a1f-2470-5941-9809-547d5805ae87,2ab8bbb2-6261-5662-aef9-7d6965f09c85,eno,4,1039
318cd041-8b13-5173-a7d0-8759618f2d62,3b8bc044-add2-5cb4-9149-b3e80c0ec525,eno,1,089
7e6889d1-e05f-5615-a658-f3cdc46ac73b,3b8bc044-add2-5cb4-9149-b3e80c0ec525,eno,2,1206
c799a8be-382b-5e5c-bf57-d09cf646b908,eb0bb15c-1ae5-5971-8cef-185541e9df48,card,1,446
63270a3d-44bb-52f8-b9dc-3d4fb9624d89,eb0bb15c-1ae5-5971-8cef-185541e9df48,card,2,L-092
fe400925-3cc2-5b21-8d2b-a2cb2b884e10,eb0bb15c-1ae5-5971-8cef-185541e9df48,card,3,L-422
02aa79b9-9f6a-5f52-86f1-451d1dc8ad3b,eb0bb15c-1ae5-5971-8cef-185541e9df48,eno,1,5979
6cd713e7-6dc9-5330-bf88-5ecc0c947579,eb0bb15c-1ae5-5971-8cef-185541e9df48,eno,2,498
2abb28be-22bc-5454-a9d7-9d77856fa5af,eb0bb15c-1ae5-5971-8cef-185541e9df48,eno,3,602
cdf54f15-3c80-568b-a057-8b64f6513b99,eb0bb15c-1ae5-5971-8cef-185541e9df48,eno,4,1075
e10e5a68-e6be-51db-92a9-c3aea4110002,cca3213c-b83b-5ab7-875f-cd063fe51e87,card,1,700
26c0d0cf-dd82-5735-8160-35c33b3f0fca,cca3213c-b83b-5ab7-875f-cd063fe51e87,card,2,3104
6c84cf40-565f-56fe-b66a-7ab1398c8856,cca3213c-b83b-5ab7-875f-cd063fe51e87,card,3,L-491
ae353216-2002-58d5-b650-dbba4c5817c5,cca3213c-b83b-5ab7-875f-cd063fe51e87,eno,1,5623
58f5f956-f3df-557f-a510-06d0ed33cdc0,cca3213c-b83b-5ab7-875f-cd063fe51e87,eno,2,823
50023240-b057-58a2-9c19-2f936668a939,cca3213c-b83b-5ab7-875f-cd063fe51e87,eno,3,422
6f62bd84-15f6-5ec7-8f30-75989575561a,cca3213c-b83b-5ab7-875f-cd063fe51e87,eno,4,1105
e80b5078-cb47-5fa9-96b6-1aadf4e83c0a,36111ac8-1d4e-53a2-9e2f-7f6f84e9d29f,card,1,830
02058cc4-517c-5707-8049-3bb18a721e58,36111ac8-1d4e-53a2-9e2f-7f6f84e9d29f,card,2,3181
ba284b9f-ae25-538e-9641-b5e138a2b77c,36111ac8-1d4e-53a2-9e2f-7f6f84e9d29f,eno,1,DIS BY UT
8cea3ee1-c7a2-5a91-a51e-d4687d77b323,36111ac8-1d4e-53a2-9e2f-7f6f84e9d29f,eno,2,DIS UT
a02e72ce-5c1c-5e91-b5a9-9567f2c76424,36111ac8-1d4e-53a2-9e2f-7f6f84e9d29f,eno,3,670
719c1eb5-94ad-54c3-8b08-1ffb33fab09f,36111ac8-1d4e-53a2-9e2f-7f6f84e9d29f,eno,4,1565
b850476b-2bad-5a1d-8894-bdd9df08b76d,c99cf244-1a95-5d9c-b230-b9ed716aee64,card,1,429
d56591ad-73e2-5ee3-a419-1b6a78f0356a,c99cf244-1a95-5d9c-b230-b9ed716aee64,card,2,2646
1d499d85-c909-548d-b6ad-9153267eab53,c99cf244-1a95-5d9c-b230-b9ed716aee64,eno,1,5549
b2e8f631-6806-55d0-aa46-b83dd047a891,c99cf244-1a95-5d9c-b230-b9ed716aee64,eno,2,584
681ba61e-2cb2-5ed2-abb6-ca64f51417a3,c99cf244-1a95-5d9c-b230-b9ed716aee64,eno,3,418
28cfd0ca-c584-5837-9f05-d4a0e3bbad66,c99cf244-1a95-5d9c-b230-b9ed716aee64,eno,4,1236
8f4cf7f8-c8eb-564d-b52d-f47e0deb894f,50858886-929d-5dd6-874e-46d5e7260663,card,1,801
26331b0f-4f85-5388-8055-c09a89c9f104,50858886-929d-5dd6-874e-46d5e7260663,card,2,3171
bbdeaa51-0ba4-5ae6-be78-e0e3abcfa13f,50858886-929d-5dd6-874e-46d5e7260663,eno,1,038
06b75088-c19e-523e-8a44-3540837d69b4,50858886-929d-5dd6-874e-46d5e7260663,eno,2,974
1e1a74dc-4a05-5e9e-bce1-fde8d1fc439f,50858886-929d-5dd6-874e-46d5e7260663,eno,3,639
a49c25a2-3787-505e-ae7c-04bfbc9d1d66,50858886-929d-5dd6-874e-46d5e7260663,eno,4,1576
493f842a-2fef-5737-a3b1-6b6eaaec9ab4,d23fa5dc-9652-5078-959b-8970b0179028,card,1,840
33e779ad-5709-5c48-bfaa-d9f5f413a033,d23fa5dc-9652-5078-959b-8970b0179028,eno,1,5743
fb381716-abe5-5424-a907-1e3abac7ca66,d23fa5dc-9652-5078-959b-8970b0179028,eno,2,456
73e7ff34-765a-52b7-bd30-c4689c816260,d23fa5dc-9652-5078-959b-8970b0179028,eno,3,419
89479eb6-e83f-5dad-b155-800937fd6337,45057b2c-73b3-52c9-90f4-2fe0725f51af,card,1,072
ba233e65-e1bc-5f91-8a52-c799c20a3c0c,45057b2c-73b3-52c9-90f4-2fe0725f51af,eno,1,072
65c29c6d-c219-524d-93c3-07cccea5d3b7,45057b2c-73b3-52c9-90f4-2fe0725f51af,eno,2,991
912e460b-e096-55cf-8176-600a70466208,45057b2c-73b3-52c9-90f4-2fe0725f51af,eno,3,288
08111781-b301-57ac-a37b-1bb9f99d042b,45057b2c-73b3-52c9-90f4-2fe0725f51af,eno,4,1320
f633bf58-7ed0-5d7d-a07b-1f1476e9f262,3fe77a82-50f5-5ef6-94af-e4f1fb7d67fc,card,1,046
20f7913d-8a99-586c-adea-2d7fd6e4885e,3fe77a82-50f5-5ef6-94af-e4f1fb7d67fc,card,2,L-157
9222582a-d393-5020-8546-443460b41444,53a11af8-bc88-55eb-ad06-89f374f971f6,card,1,OLD STU
0ab1ad7b-dacb-559e-b8bb-338920e56ff1,53a11af8-bc88-55eb-ad06-89f374f971f6,eno,1,191
9ceb7e87-8d42-5fb6-bb32-5a932143e024,48594cb1-e071-5155-9b5a-5028532c301d,card,2,L-227
38bceb18-7f00-5aa5-b82e-27baea800ade,48594cb1-e071-5155-9b5a-5028532c301d,eno,1,5980
3f644d90-ca97-559a-9dc0-8a4993057d51,48594cb1-e071-5155-9b5a-5028532c301d,eno,2,435
8aa32790-3218-591e-9a47-7d43dacb3722,48594cb1-e071-5155-9b5a-5028532c301d,eno,3,260
d83811d9-68ae-530b-8332-1b943e75f46f,48594cb1-e071-5155-9b5a-5028532c301d,eno,4,1348
106f1783-e29b-5d21-836d-bf6b417b799d,e1b745a0-4c12-56b2-b9d6-3b23379e98f9,card,1,436
42e2ec82-0093-556d-9068-0118f1ebe0c8,e1b745a0-4c12-56b2-b9d6-3b23379e98f9,eno,1,5480
a107124d-71a6-5482-8815-6550d76faaeb,e1b745a0-4c12-56b2-b9d6-3b23379e98f9,eno,2,590
0492b104-2885-5bf1-ba4a-b442423d4842,a1d0d6ff-b95d-5594-8dfd-e1d2a9b73019,card,1,OLD STU
6a8cb08d-c255-5547-b23c-c760c674397b,a1d0d6ff-b95d-5594-8dfd-e1d2a9b73019,card,2,3167
9d44dabc-b2cf-5824-b94b-b91ff257b842,a1d0d6ff-b95d-5594-8dfd-e1d2a9b73019,eno,1,197
7f7beba9-72ce-532e-8fed-5243a0554ee5,a1d0d6ff-b95d-5594-8dfd-e1d2a9b73019,eno,2,969
45907361-e5bc-5f9e-a112-d64f34e7b72a,a1d0d6ff-b95d-5594-8dfd-e1d2a9b73019,eno,3,585
ab71284e-34e2-5f1a-8a09-3e23a5aadbb6,a1d0d6ff-b95d-5594-8dfd-e1d2a9b73019,eno,4,1479
8f4a4432-1f76-54f4-8b94-d22a66f44a98,94b80b2c-8c60-5a22-8629-c2f52d9a2fcc,card,1,513
a31d958e-cf7f-5af2-a649-5dbe4fa32daa,94b80b2c-8c60-5a22-8629-c2f52d9a2fcc,card,2,3101
8f36b258-9cfa-5f6b-9604-c64d34834644,94b80b2c-8c60-5a22-8629-c2f52d9a2fcc,eno,1,5413
18fcd194-bc85-577f-9e3d-34da8f12b17f,94b80b2c-8c60-5a22-8629-c2f52d9a2fcc,eno,2,845
102f75bc-ef25-5b25-a869-60d0262d14fa,94b80b2c-8c60-5a22-8629-c2f52d9a2fcc,eno,3,403
40993417-316b-5ec1-97ff-34201c508d8e,94b80b2c-8c60-5a22-8629-c2f52d9a2fcc,eno,4,1492
031b4b93-6e36-53b3-ad51-f6485092a37c,338d39c6-b832-5b07-85ae-9a9db8511964,card,1,OLD STU
e9b246cc-c1f8-55ed-9647-2eac5ea5526a,338d39c6-b832-5b07-85ae-9a9db8511964,card,2,000 8/7/24
598ac74d-abad-510c-a205-6f9a19582747,338d39c6-b832-5b07-85ae-9a9db8511964,eno,1,5994
bad03835-990d-59f8-b2ba-4e7928632093,338d39c6-b832-5b07-85ae-9a9db8511964,eno,2,NOT FILL FORM
91a6b3a2-aa65-5f23-a01d-7cd40775c784,338d39c6-b832-5b07-85ae-9a9db8511964,eno,3,198
45997663-3a94-586a-8749-add97a731310,cc02370f-488c-5e92-9fe1-14b3988caa47,card,1,838
06e6baff-824f-5aff-86e7-9f4002c0e392,cc02370f-488c-5e92-9fe1-14b3988caa47,card,2,3272
92d90592-fb6a-5b53-ac63-5a58de3dde1e,cc02370f-488c-5e92-9fe1-14b3988caa47,eno,1,184
edc914a2-5e1b-5efc-8750-7998985638d6,cc02370f-488c-5e92-9fe1-14b3988caa47,eno,2,105
50d19968-4123-55d8-8ab8-7f72a998c168,cc02370f-488c-5e92-9fe1-14b3988caa47,eno,3,588
c1084efb-94f8-5871-9e12-1c463037b6e3,cc02370f-488c-5e92-9fe1-14b3988caa47,eno,4,1500
2287a790-5ac2-5b34-be19-cad8ca62967a,f632d3d4-b38c-529b-b1fe-4331b1809bd0,card,1,311
fc020320-ac29-5919-a9d0-8a8c71e0ad57,f632d3d4-b38c-529b-b1fe-4331b1809bd0,card,2,L-268
21cadedc-08a7-5df7-b0e0-afcf76abb355,9838c178-4ddf-5eb9-8b91-b0911ed21dce,card,2,L-373
0f85d57e-acb0-5a0b-b0c7-01368ff951b4,9838c178-4ddf-5eb9-8b91-b0911ed21dce,eno,4,1607
312cd793-3d79-56ed-8110-857258798271,ce1980f7-5eb9-51e9-ac6f-e99146e6596f,card,1,976
16fc24d9-5bdd-5006-8e8d-d51d5b376250,0913cc48-a5e4-589a-b5ab-98312d5e24ea,card,1,471
f09448d7-d7ff-5908-8806-bf3fae4aa56d,0913cc48-a5e4-589a-b5ab-98312d5e24ea,card,2,2874
ac4f0730-e49e-50b7-bcb2-0422d3f4c327,0913cc48-a5e4-589a-b5ab-98312d5e24ea,card,3,409 T
be9c3c48-bb82-5852-a295-0804595f054b,fdde3412-cf64-585e-834c-fc0badc7b06d,card,1,864
0d33ed07-f5be-54c9-baf4-b722e450987e,fdde3412-cf64-585e-834c-fc0badc7b06d,card,2,3210
0357522d-3091-58d8-8266-6540a28759e3,fdde3412-cf64-585e-834c-fc0badc7b06d,eno,1,5434
57f57c72-259d-5b89-9434-ba64efa0de07,fdde3412-cf64-585e-834c-fc0badc7b06d,eno,2,592
937fad45-4ca3-5388-a7be-757bcda42c3c,fdde3412-cf64-585e-834c-fc0badc7b06d,eno,3,570
655b5897-0e44-5aa4-9cd0-8ef10d63eb36,fdde3412-cf64-585e-834c-fc0badc7b06d,eno,4,1029
fb742606-f77c-5f86-89b1-4031b5478425,bce4db08-1bdb-51fa-ace0-32928df8f1fc,card,1,708
fa44aa72-50d5-5cbe-84e0-e27e425648d3,bce4db08-1bdb-51fa-ace0-32928df8f1fc,card,2,PAID
7f6dfb65-b7db-5db8-ad98-5c7f0b5751bf,bce4db08-1bdb-51fa-ace0-32928df8f1fc,eno,1,5889
d9a1a2c3-edac-558d-adef-48935c22a0ad,bce4db08-1bdb-51fa-ace0-32928df8f1fc,eno,2,470
4aa24c48-9ce3-5cde-9a01-99d69723960a,bce4db08-1bdb-51fa-ace0-32928df8f1fc,eno,3,039
31a69a5f-ec65-56aa-8ce6-d0c19e155466,bce4db08-1bdb-51fa-ace0-32928df8f1fc,eno,4,950
a359c8be-c859-5fc5-946c-8f02e9c1c884,17f47719-f045-5377-8d2c-2a349355bfb7,card,1,440
e6a1240f-1cd8-5ccf-a53d-502683b4c878,17f47719-f045-5377-8d2c-2a349355bfb7,card,2,2758
7f0df942-4bfc-5fc4-a479-6b0f568918ba,17f47719-f045-5377-8d2c-2a349355bfb7,card,3,L-361
a74ed461-33ee-59ab-943a-32cfb89b2c32,17f47719-f045-5377-8d2c-2a349355bfb7,eno,1,5471
18b0a24b-d995-5c9e-8fbc-db4b0c8736b9,17f47719-f045-5377-8d2c-2a349355bfb7,eno,2,658
7e8a9bea-924b-5aec-8d08-0594ccd342f6,17f47719-f045-5377-8d2c-2a349355bfb7,eno,3,573
40183c4f-b2a5-5489-a397-48dcbfafde21,17f47719-f045-5377-8d2c-2a349355bfb7,eno,4,1523
10fce79f-1aa2-56eb-b0fa-83446fab2200,cbbed74c-06a2-5cb3-9380-b8e452862286,card,1,445
f7230391-963a-542e-a0e8-b5b5b6abc798,cbbed74c-06a2-5cb3-9380-b8e452862286,card,2,3123
cf795f31-5c6e-5e4f-b621-abc143a3781d,cbbed74c-06a2-5cb3-9380-b8e452862286,eno,1,040
e3a767ba-5cc5-5cd5-a390-e68fcab4387d,cbbed74c-06a2-5cb3-9380-b8e452862286,eno,2,507
836e0a7b-833b-5798-ad69-499c0f861e76,cbbed74c-06a2-5cb3-9380-b8e452862286,eno,3,409
702cbd9e-178f-50da-b903-36f6a0bdea99,cbbed74c-06a2-5cb3-9380-b8e452862286,eno,4,973
67f978d4-a427-536a-82d7-986cc3377342,55c15a36-3c8c-5865-a586-43c1938b9ff0,card,1,879
bfdb75c4-3d51-5d9b-9e2f-b05dfb297672,55c15a36-3c8c-5865-a586-43c1938b9ff0,card,2,L-061
54f66bd7-7e84-5875-8e59-e2cd55443483,55c15a36-3c8c-5865-a586-43c1938b9ff0,eno,1,5797
5c1b282d-7d9b-528b-a635-bd4cbb628ddb,55c15a36-3c8c-5865-a586-43c1938b9ff0,eno,2,325
51c27792-2d13-5717-b89e-9d1324f20150,55c15a36-3c8c-5865-a586-43c1938b9ff0,eno,3,262
7671cc24-bddd-5318-b1e6-51f2e76eee1b,55c15a36-3c8c-5865-a586-43c1938b9ff0,eno,4,1017
94e2c6a3-0b9a-5c06-983b-74226911b277,759c0e1f-94f6-50af-9e7b-cc46c6c34d14,card,1,763
ce63e7ff-e8b3-5381-8b1b-850210a97380,759c0e1f-94f6-50af-9e7b-cc46c6c34d14,card,2,3112
010cc5f3-8d75-5766-a6f7-e0fc4aed5252,759c0e1f-94f6-50af-9e7b-cc46c6c34d14,card,3,L-176
de401545-4e65-5b86-b43b-67ed71ec3d85,759c0e1f-94f6-50af-9e7b-cc46c6c34d14,eno,1,5965
e00de16a-59be-5d71-bf66-de326e522a7b,759c0e1f-94f6-50af-9e7b-cc46c6c34d14,eno,2,549
b43864fe-7644-5ff9-a76e-eefe694035d3,759c0e1f-94f6-50af-9e7b-cc46c6c34d14,eno,3,194
149ed743-d177-5ad7-8a9e-0fb295a267e8,759c0e1f-94f6-50af-9e7b-cc46c6c34d14,eno,4,1092
0651af81-f38c-5b7e-842a-ed2576e2bcfe,b7c6a98b-7d30-50fb-940e-4e1b2837af79,card,1,563
6c479741-0d55-5ef6-8289-072ef5cb4f44,b7c6a98b-7d30-50fb-940e-4e1b2837af79,card,2,3115
6b9cf3b3-dcc3-5d24-8b5b-e4cffe2cceaf,b7c6a98b-7d30-50fb-940e-4e1b2837af79,eno,1,5913
142ce1a9-6d52-50db-8e1d-8d0187369ab3,b7c6a98b-7d30-50fb-940e-4e1b2837af79,eno,2,311
d894f25e-1a71-5fc7-8133-17d4005075ae,b7c6a98b-7d30-50fb-940e-4e1b2837af79,eno,3,404
efb4cd94-75b5-590b-8d67-c21475bc962e,b7c6a98b-7d30-50fb-940e-4e1b2837af79,eno,4,1115
89f5b83a-9301-5ed1-9004-e4a291d0d341,eb773530-e8af-548c-ab6a-32327af79bc0,card,1,564
f6c74498-63aa-56c6-acec-15e2421efec4,eb773530-e8af-548c-ab6a-32327af79bc0,card,2,3114
b957884e-13bf-5ce6-a396-283c434c0300,eb773530-e8af-548c-ab6a-32327af79bc0,eno,1,5428
0f5b9b81-8281-5d27-936c-085752485783,eb773530-e8af-548c-ab6a-32327af79bc0,eno,2,371
be6fb0d3-2300-55bc-9b8c-a4c402d3f400,eb773530-e8af-548c-ab6a-32327af79bc0,eno,3,564
c848308b-2d22-5a62-b9a5-a6fd81d97dbd,eb773530-e8af-548c-ab6a-32327af79bc0,eno,4,1116
882b4ef3-6435-56e9-bb24-ddf65cf44169,e90dd72b-fede-5ee0-8d47-b634cf8b8086,card,1,694
483a9868-07cf-5714-bdf9-2114c6b31224,e90dd72b-fede-5ee0-8d47-b634cf8b8086,card,2,2965
f3a37708-d1cb-5c00-bb51-f496f2be962c,e90dd72b-fede-5ee0-8d47-b634cf8b8086,card,3,372 T
09e28ba0-5796-53d6-94e0-84d239d6daa0,a8b20e74-7925-5042-ab5b-e77f129cdd09,card,1,737
d48c3541-9191-53da-92ff-0d0ca4a6fc92,a8b20e74-7925-5042-ab5b-e77f129cdd09,card,2,2529
8a29eeea-4d55-51a5-9a41-efa819846aa2,a8b20e74-7925-5042-ab5b-e77f129cdd09,card,3,L-193
2f06de4e-4473-595b-b1d5-ae6f9c021dbc,a8b20e74-7925-5042-ab5b-e77f129cdd09,eno,1,047
db38774f-6418-54a2-bb84-6dab4754bd5a,a8b20e74-7925-5042-ab5b-e77f129cdd09,eno,2,547
0990fb8c-ee52-5451-ad89-6b7b31115fa4,a8b20e74-7925-5042-ab5b-e77f129cdd09,eno,3,093
b4065ed1-d291-517f-ba34-a1c717fd5852,a8b20e74-7925-5042-ab5b-e77f129cdd09,eno,4,1175
80b36798-3a87-5a10-9818-02d78fe994aa,21787a22-d9eb-5f57-9af9-08fc8377c13d,card,2,3157
c0e6a4c9-f5ec-5178-a9b8-6ae8f8faba5f,21787a22-d9eb-5f57-9af9-08fc8377c13d,eno,1,199
969743ee-4be4-5748-acde-4a5af38469f1,21787a22-d9eb-5f57-9af9-08fc8377c13d,eno,2,976
b74c5e3d-bb3f-5556-aa91-03a812035af3,21787a22-d9eb-5f57-9af9-08fc8377c13d,eno,3,578
1ae91376-ad20-5447-b681-4100472575e6,21787a22-d9eb-5f57-9af9-08fc8377c13d,eno,4,1497
17e0f9b4-0cd8-595f-a5c8-fab621e908b1,cf154850-dd0e-5a10-847f-41353dbb7a0e,card,1,851
2d1c3285-6762-5e6c-8f89-b414cf8946e1,cf154850-dd0e-5a10-847f-41353dbb7a0e,card,2,3226
fed1712b-46ee-5dd9-8cad-bfca0c1b11df,cf154850-dd0e-5a10-847f-41353dbb7a0e,eno,1,5702
79239737-baae-5bfa-84c6-f03ca3b2e28d,cf154850-dd0e-5a10-847f-41353dbb7a0e,eno,2,657
4c771b79-e913-5220-929c-f201b8d29c7f,cf154850-dd0e-5a10-847f-41353dbb7a0e,eno,3,195
def7645d-2c2f-54a6-b6e4-1b925bae2b20,cf154850-dd0e-5a10-847f-41353dbb7a0e,eno,4,1341
00bd7e88-fbc1-5717-82a8-2338fca1f564,60168b9f-06b3-5054-a50b-fd6251b924fe,card,1,853
dda9d351-40ae-5b7f-9669-53aae8be93a4,60168b9f-06b3-5054-a50b-fd6251b924fe,card,2,3057
41132edc-8861-5b1c-a76c-32a3856e0f79,60168b9f-06b3-5054-a50b-fd6251b924fe,card,3,L-245
672940c9-cfbc-5f21-b017-dfc00fb253ee,60168b9f-06b3-5054-a50b-fd6251b924fe,eno,3,230
5fd17df2-09c1-59e6-9abc-ac029db706a1,60168b9f-06b3-5054-a50b-fd6251b924fe,eno,4,1349
47f4628b-1110-5a84-a6ac-e9ee030ebd29,84e32235-dad5-5e8c-8aae-2eba93adce08,card,1,157
48ba61f5-a179-5e5e-b0d8-7b4f23edf981,84e32235-dad5-5e8c-8aae-2eba93adce08,eno,1,809
eab80ab4-d64c-58d4-b448-6ff116aa7e42,84e32235-dad5-5e8c-8aae-2eba93adce08,eno,2,1464
be559564-1212-5f84-82ea-2df0c2f48902,4f22a4c8-a9b9-5716-9a35-2721f5ecbde4,card,1,600
302d62b7-3a5c-5dc4-a783-55e73bf085d9,d76f97f6-a311-5260-b114-e6f727df090a,card,1,896
c7e407e4-4ab4-5f6a-a61e-3bce5f999cdd,d76f97f6-a311-5260-b114-e6f727df090a,eno,1,202
